product_category_path,product_department
Women>Accessories & Handbags>Handbags,ACCESSORIES
Women>Clothing>Dresses,RTW
Home>Bedroom Furniture>Mattresses,FURNITURE
Home>Bed & Bath>Bed Linen,BED & BATH
Women>Clothing>Knitwear,RTW
Women>Clothing>Blouses & Tops,RTW
Women>Lingerie>Swimwear & Beachwear,LINGERIE
Women>Clothing>Jeans,RTW
Women>Accessories & Handbags>Jewellery,ACCESSORIES
Outdoor>Garden Furniture>Garden Furniture Sets,FURNITURE
Women>Clothing>Jackets,RTW
Women>Clothing>Trousers,RTW
Men>Clothing>Jackets,RTW
Men>Clothing>Polo shirts,RTW
Men>Clothing>Jeans,RTW
Women>Clothing>Coats,RTW
Men>Clothing>Knitwear,RTW
Home>Living Room Furniture>Sofas & Armchairs,FURNITURE
Men>Clothing>Sweatshirts & Fleeces,RTW
Women>Accessories & Handbags>Sunglasses,ACCESSORIES
Men>Shoes>Trainers,FOOTWEAR
Men>Clothing>Shirts,RTW
Women>Shoes>Trainers,FOOTWEAR
Women>Shoes>Ankle boots,FOOTWEAR
Home>Bed & Bath>Duvets & Pillows,BED & BATH
Home>Kitchen & Dining>Electricals,K&D
Men>Clothing>Trousers,RTW
Men>Clothing>T-shirts & Vests,RTW
Beauty>Skincare>Gift sets,BEAUTY
Women>Shoes>Flat Sandals,FOOTWEAR
Home>Home Accessories>Candles & Home Fragrance,BEAUTY
Women>Clothing>Sweatshirts & Fleeces,RTW
Sports & Leisure>Womens Clothing>Leggings,LINGERIE
Home>Kitchen & Dining>Drinkware,K&D
Men>Clothing>Coats,RTW
Home>Home Accessories>Rugs,DEC HOME
Men>Clothing>Swimwear,RTW
Women>Clothing>Skirts,RTW
Home>Bed & Bath>Towels,BED & BATH
Women>Accessories & Handbags>Purses,ACCESSORIES
Women>Lingerie>Bras,LINGERIE
Women>Clothing>T-Shirts & Vests,RTW
Home>Home Accessories>Lighting,FURNITURE
Home>Home Accessories>Cushions & Throws,DEC HOME
Men>Clothing>Shorts,RTW
Women>Accessories & Handbags>Travel,ACCESSORIES
Home>Kitchen & Dining>Food Preparation,K&D
